attendance,reporting_status,venue_name,venue_type,venue_capacity,continent,country,city,show_nights
7493.0,parcial,Jamsil Indoor Stadium,arena,11069.0,Asia,South Korea,Seoul,2
,unreported,Osaka-jō Hall,arena,16000.0,Asia,Japan,Osaka,4
,unreported,Yoyogi National Gymnasium,arena,12898.0,Asia,Japan,Tokyo,2
,unreported,Saitama Super Arena,arena,22500.0,Asia,Japan,Saitama,2
,unreported,Nippon Gaishi Hall,arena,10000.0,Asia,Japan,Nagoya,2
,unreported,ICE BSD,concert hall,,Asia,Indonesia,Tangerang,1
,unreported,IMPACT Thunder Dome,concert hall,3500.0,Asia,Thailand,Bangkok,2
,unreported,Tokyo Dome,stadium,55000.0,Asia,Japan,Tokyo,2
9452.0,reported,Crypto.com Arena,stadium,20000.0,North America,United States,Los Angeles,1
,unreported,Toyota Music Factory,theater,4000.0,North America,United States,Irving,1
,unreported,James L. Knight Center,theater,4605.0,North America,United States,Miami,1
3593.0,reported,Fox Theatre,theater,4665.0,North America,United States,Atlanta,1
2900.0,reported,The Theater at MGM National Harbor,theater,,North America,United States,Oxon Hill,1
3948.0,reported,Rosemont Theatre,theater,4400.0,North America,United States,Rosemont,1
4061.0,reported,MGM Music Hall,concert hall,5007.0,North America,United States,Boston,1
6654.0,reported,Barclays Center,arena,20000.0,North America,United States,New York,1
8550.0,reported,Palacio de los Deportes,arena,26000.0,North America,Mexico,Mexico City,1
,unreported,Espaço Unimed,concert hall,8000.0,South America,Brazil,São Paulo,1
4151.0,reported,Teatro Caupolicán,theater,4500.0,South America,Chile,Santiago,1
,unreported,Columbiahalle,concert hall,4900.0,Europe,Germany,Berlin,1
,unreported,The O2 Arena,arena,20000.0,Europe,England,London,1
,unreported,Dôme,concert hall,4600.0,Europe,France,Paris,1
12600.0,reported,Jamsil Indoor Stadium,arena,11069.0,Asia,South Korea,Seoul,2
10293.0,reported,Marine Messe,arena,15000.0,Asia,Japan,Fukuoka,1
15997.0,reported,Aichi Sky Expo,concert hall,10000.0,Asia,Japan,Nagoya,2
38281.0,reported,Saitama Super Arena,arena,22500.0,Asia,Japan,Saitama,2
,unreported,Singapore Indoor Stadium,arena,9000.0,Asia,Singapore,Singapore,1
25872.0,reported,Asue Arena,arena,16000.0,Asia,Japan,Osaka,2
12155.0,reported,Marine Messe,arena,15000.0,Asia,Japan,Fukuoka,2
,unreported,AsiaWorld–Expo,arena,14000.0,Asia,Hong Kong,Hong Kong,2
,unreported,NTSU Arena,arena,15000.0,Asia,Taiwan,Taoyuan,3
93639.0,reported,Tokyo Dome,stadium,55000.0,Asia,Japan,Tokyo,2
,unreported,Beach City International Stadium,arena,15000.0,Asia,Indonesia,Jakarta,1
