attendance,reporting_status,venue_name,venue_type,venue_capacity,continent,country,city,show_nights,artist_name,gender,generation,members,company,years_since_debut,artist_age_bucket,artist_country
7493.0,parcial,Jamsil Indoor Stadium,arena,11069.0,Asia,South Korea,Seoul,2,aespa,female,4,4,"SM,KAKAO",2,rookie,aespa_South Korea
,unreported,Osaka-jō Hall,arena,16000.0,Asia,Japan,Osaka,4,aespa,female,4,4,"SM,KAKAO",2,rookie,aespa_Japan
,unreported,Yoyogi National Gymnasium,arena,12898.0,Asia,Japan,Tokyo,2,aespa,female,4,4,"SM,KAKAO",2,rookie,aespa_Japan
,unreported,Saitama Super Arena,arena,22500.0,Asia,Japan,Saitama,2,aespa,female,4,4,"SM,KAKAO",2,rookie,aespa_Japan
,unreported,Nippon Gaishi Hall,arena,10000.0,Asia,Japan,Nagoya,2,aespa,female,4,4,"SM,KAKAO",2,rookie,aespa_Japan
,unreported,ICE BSD,concert hall,,Asia,Indonesia,Tangerang,1,aespa,female,4,4,"SM,KAKAO",2,rookie,aespa_Indonesia
,unreported,IMPACT Thunder Dome,concert hall,3500.0,Asia,Thailand,Bangkok,2,aespa,female,4,4,"SM,KAKAO",2,rookie,aespa_Thailand
,unreported,Tokyo Dome,stadium,55000.0,Asia,Japan,Tokyo,2,aespa,female,4,4,"SM,KAKAO",2,rookie,aespa_Japan
9452.0,reported,Crypto.com Arena,stadium,20000.0,North America,United States,Los Angeles,1,aespa,female,4,4,"SM,KAKAO",2,rookie,aespa_United States
,unreported,Toyota Music Factory,theater,4000.0,North America,United States,Irving,1,aespa,female,4,4,"SM,KAKAO",2,rookie,aespa_United States
,unreported,James L. Knight Center,theater,4605.0,North America,United States,Miami,1,aespa,female,4,4,"SM,KAKAO",2,rookie,aespa_United States
3593.0,reported,Fox Theatre,theater,4665.0,North America,United States,Atlanta,1,aespa,female,4,4,"SM,KAKAO",2,rookie,aespa_United States
2900.0,reported,The Theater at MGM National Harbor,theater,,North America,United States,Oxon Hill,1,aespa,female,4,4,"SM,KAKAO",2,rookie,aespa_United States
