attendance,reporting_status,artist_name,gender,generation,tour_type,members,stage_setup,company,continent,country,city,venue_name,venue_type,venue_capacity,show_nights,show_year,show_month,show_quarter,weekday_1,weekday_n,is_weekend,years_since_debut,artist_age_bucket
7493.0,parcial,aespa,female,4,world tour,4,end stage,"SM,KAKAO",Asia,South Korea,Seoul,Jamsil Indoor Stadium,arena,11069.0,2,2023,2,1,Sat,Sun,1,2,rookie
,unreported,aespa,female,4,world tour,4,end stage,"SM,KAKAO",Asia,Japan,Osaka,Osaka-jō Hall,arena,16000.0,4,2023,3,1,Wed,Sun,0,2,rookie
,unreported,aespa,female,4,world tour,4,end stage,"SM,KAKAO",Asia,Japan,Tokyo,Yoyogi National Gymnasium,arena,12898.0,2,2023,4,2,Sat,Sun,1,2,rookie
,unreported,aespa,female,4,world tour,4,end stage,"SM,KAKAO",Asia,Japan,Saitama,Saitama Super Arena,arena,22500.0,2,2023,4,2,Sat,Sun,1,2,rookie
,unreported,aespa,female,4,world tour,4,end stage,"SM,KAKAO",Asia,Japan,Nagoya,Nippon Gaishi Hall,arena,10000.0,2,2023,4,2,Sat,Sun,1,2,rookie
,unreported,aespa,female,4,world tour,4,end stage,"SM,KAKAO",Asia,Indonesia,Tangerang,ICE BSD,concert hall,,1,2023,6,2,Sat,Sat,1,2,rookie
,unreported,aespa,female,4,world tour,4,end stage,"SM,KAKAO",Asia,Thailand,Bangkok,IMPACT Thunder Dome,concert hall,3500.0,2,2023,7,3,Sat,Sun,1,2,rookie
,unreported,aespa,female,4,world tour,4,end stage,"SM,KAKAO",Asia,Japan,Tokyo,Tokyo Dome,stadium,55000.0,2,2023,8,3,Sat,Sun,1,2,rookie
9452.0,reported,aespa,female,4,world tour,4,end stage,"SM,KAKAO",North America,United States,Los Angeles,Crypto.com Arena,stadium,20000.0,1,2023,8,3,Sun,Sun,1,2,rookie
,unreported,aespa,female,4,world tour,4,end stage,"SM,KAKAO",North America,United States,Irving,Toyota Music Factory,theater,4000.0,1,2023,8,3,Fri,Fri,1,2,rookie
,unreported,aespa,female,4,world tour,4,end stage,"SM,KAKAO",North America,United States,Miami,James L. Knight Center,theater,4605.0,1,2023,8,3,Tue,Tue,0,2,rookie
3593.0,reported,aespa,female,4,world tour,4,end stage,"SM,KAKAO",North America,United States,Atlanta,Fox Theatre,theater,4665.0,1,2023,8,3,Fri,Fri,1,2,rookie
2900.0,reported,aespa,female,4,world tour,4,end stage,"SM,KAKAO",North America,United States,Oxon Hill,The Theater at MGM National Harbor,theater,,1,2023,8,3,Sun,Sun,1,2,rookie
3948.0,reported,aespa,female,4,world tour,4,end stage,"SM,KAKAO",North America,United States,Rosemont,Rosemont Theatre,theater,4400.0,1,2023,8,3,Wed,Wed,0,2,rookie
4061.0,reported,aespa,female,4,world tour,4,end stage,"SM,KAKAO",North America,United States,Boston,MGM Music Hall,concert hall,5007.0,1,2023,9,3,Sat,Sat,1,2,rookie
