attendance,reporting_status,gender,generation,tour_type,members,stage_setup,continent,country,city,venue_type,venue_capacity,show_nights,show_year,show_month,show_quarter,weekday_1,weekday_n,is_weekend,years_since_debut,artist_age_bucket
7493.0,parcial,female,4,world tour,4,end stage,Asia,South Korea,Seoul,arena,11069.0,2,2023,2,1,Sat,Sun,1,2,rookie
,unreported,female,4,world tour,4,end stage,Asia,Japan,Osaka,arena,16000.0,4,2023,3,1,Wed,Sun,0,2,rookie
,unreported,female,4,world tour,4,end stage,Asia,Japan,Tokyo,arena,12898.0,2,2023,4,2,Sat,Sun,1,2,rookie
,unreported,female,4,world tour,4,end stage,Asia,Japan,Saitama,arena,22500.0,2,2023,4,2,Sat,Sun,1,2,rookie
,unreported,female,4,world tour,4,end stage,Asia,Japan,Nagoya,arena,10000.0,2,2023,4,2,Sat,Sun,1,2,rookie
,unreported,female,4,world tour,4,end stage,Asia,Indonesia,Tangerang,concert hall,,1,2023,6,2,Sat,Sat,1,2,rookie
,unreported,female,4,world tour,4,end stage,Asia,Thailand,Bangkok,concert hall,3500.0,2,2023,7,3,Sat,Sun,1,2,rookie
,unreported,female,4,world tour,4,end stage,Asia,Japan,Tokyo,stadium,55000.0,2,2023,8,3,Sat,Sun,1,2,rookie
9452.0,reported,female,4,world tour,4,end stage,North America,United States,Los Angeles,stadium,20000.0,1,2023,8,3,Sun,Sun,1,2,rookie
,unreported,female,4,world tour,4,end stage,North America,United States,Irving,theater,4000.0,1,2023,8,3,Fri,Fri,1,2,rookie
,unreported,female,4,world tour,4,end stage,North America,United States,Miami,theater,4605.0,1,2023,8,3,Tue,Tue,0,2,rookie
3593.0,reported,female,4,world tour,4,end stage,North America,United States,Atlanta,theater,4665.0,1,2023,8,3,Fri,Fri,1,2,rookie
2900.0,reported,female,4,world tour,4,end stage,North America,United States,Oxon Hill,theater,,1,2023,8,3,Sun,Sun,1,2,rookie
3948.0,reported,female,4,world tour,4,end stage,North America,United States,Rosemont,theater,4400.0,1,2023,8,3,Wed,Wed,0,2,rookie
4061.0,reported,female,4,world tour,4,end stage,North America,United States,Boston,concert hall,5007.0,1,2023,9,3,Sat,Sat,1,2,rookie
6654.0,reported,female,4,world tour,4,end stage,North America,United States,New York,arena,20000.0,1,2023,9,3,Tue,Tue,0,2,rookie
8550.0,reported,female,4,world tour,4,end stage,North America,Mexico,Mexico City,arena,26000.0,1,2023,9,3,Fri,Fri,1,2,rookie
,unreported,female,4,world tour,4,end stage,South America,Brazil,São Paulo,concert hall,8000.0,1,2023,9,3,Mon,Mon,0,2,rookie
4151.0,reported,female,4,world tour,4,end stage,South America,Chile,Santiago,theater,4500.0,1,2023,9,3,Thu,Thu,0,2,rookie
,unreported,female,4,world tour,4,end stage,Europe,Germany,Berlin,concert hall,4900.0,1,2023,9,3,Mon,Mon,0,2,rookie
,unreported,female,4,world tour,4,end stage,Europe,England,London,arena,20000.0,1,2023,9,3,Thu,Thu,0,2,rookie
,unreported,female,4,world tour,4,end stage,Europe,France,Paris,concert hall,4600.0,1,2023,9,3,Sat,Sat,1,2,rookie
12600.0,reported,female,4,world tour,4,end stage,Asia,South Korea,Seoul,arena,11069.0,2,2024,6,2,Sat,Sun,1,3,growing
10293.0,reported,female,4,world tour,4,end stage,Asia,Japan,Fukuoka,arena,15000.0,1,2024,7,3,Sat,Sat,1,3,growing
15997.0,reported,female,4,world tour,4,end stage,Asia,Japan,Nagoya,concert hall,10000.0,2,2024,7,3,Wed,Thu,0,3,growing
38281.0,reported,female,4,world tour,4,end stage,Asia,Japan,Saitama,arena,22500.0,2,2024,7,3,Sun,Mon,1,3,growing
,unreported,female,4,world tour,4,end stage,Asia,Singapore,Singapore,arena,9000.0,1,2024,7,3,Sat,Sat,1,3,growing
25872.0,reported,female,4,world tour,4,end stage,Asia,Japan,Osaka,arena,16000.0,2,2024,7,3,Sat,Sun,1,3,growing
12155.0,reported,female,4,world tour,4,end stage,Asia,Japan,Fukuoka,arena,15000.0,2,2024,7,3,Tue,Wed,0,3,growing
,unreported,female,4,world tour,4,end stage,Asia,Hong Kong,Hong Kong,arena,14000.0,2,2024,8,3,Sat,Sun,1,3,growing
,unreported,female,4,world tour,4,end stage,Asia,Taiwan,Taoyuan,arena,15000.0,3,2024,8,3,Fri,Sun,1,3,growing
93639.0,reported,female,4,world tour,4,end stage,Asia,Japan,Tokyo,stadium,55000.0,2,2024,8,3,Sat,Sun,1,3,growing
,unreported,female,4,world tour,4,end stage,Asia,Indonesia,Jakarta,arena,15000.0,1,2024,8,3,Sat,Sat,1,3,growing
20053.0,reported,female,4,world tour,4,end stage,Oceania,Australia,Sydney,arena,18000.0,2,2024,8,3,Fri,Sat,1,3,growing
10783.0,reported,female,4,world tour,4,end stage,Oceania,Australia,Melbourne,arena,14820.0,1,2024,9,3,Mon,Mon,0,3,growing
,unreported,female,4,world tour,4,end stage,Asia,Macau,Macau,concert hall,,2,2024,9,3,Sat,Sun,1,3,growing
,unreported,female,4,world tour,4,end stage,Asia,Thailand,Bangkok,arena,12000.0,2,2024,9,3,Sat,Sun,1,3,growing
5134.0,reported,female,4,world tour,4,end stage,North America,United States,Kent,arena,7141.0,1,2025,1,1,Tue,Tue,0,4,growing
11975.0,reported,female,4,world tour,4,end stage,North America,United States,Oakland,arena,19596.0,1,2025,1,1,Thu,Thu,0,4,growing
12170.0,reported,female,4,world tour,4,end stage,North America,United States,Inglewood,arena,17500.0,1,2025,2,1,Sat,Sat,1,4,growing
10287.0,reported,female,4,world tour,4,end stage,North America,Mexico,Mexico City,arena,26000.0,1,2025,2,1,Tue,Tue,0,4,growing
