dataset,model,MAE,RMSE,R2
v1_baseline,Decision Tree,5089.983616309395,8581.78560117655,0.9112144653097809
v1_baseline,Random Forest,4654.744195503749,7311.231290518818,0.935558158885039
v1_baseline,MLP,11565.681068450507,17869.928590682415,0.6150249998176966
v2_artist,Decision Tree,5327.26987664031,9063.114712815068,0.9009756848186232
v2_artist,Random Forest,4120.230914674542,6196.443458903835,0.9537116312352834
v2_artist,MLP,11528.303411500909,17067.787990103825,0.6488106211395568
v3_artist_geo,Decision Tree,5537.451091790588,9614.84722360968,0.8885521564711734
v3_artist_geo,Random Forest,4144.565876056503,6308.133534210395,0.9520279088634375
v3_artist_geo,MLP,11687.388181538563,19521.315547483322,0.5405851206085808
v4_artist_geo_time,Decision Tree,5612.891243611609,11668.799018270922,0.835850632693125
v4_artist_geo_time,Random Forest,4187.031877869202,6307.051106676733,0.9520443707398174
v4_artist_geo_time,MLP,11678.011329030525,18838.64023106392,0.5721554557246213
v5_full,Decision Tree,5753.760353346178,9664.364475519695,0.8874012694290407
v5_full,Random Forest,4166.571129234186,6215.862317362514,0.9534210530174269
v5_full,MLP,11380.611387790444,16625.663575058992,0.6667694037957668
v6_no_artist,Decision Tree,4793.576272414063,7960.925483649896,0.9235963667151134
v6_no_artist,Random Forest,4279.018598442514,6419.886687561303,0.9503131323090097
v6_no_artist,MLP,10290.439399930838,15333.991984832264,0.716536361349798
