dataset,model,MAE,RMSE,R2
v1_baseline,Decision Tree,5578.306466156259,9840.26641436543,0.9159931617490242
v1_baseline,Random Forest,5343.56020533267,10332.273636622971,0.9073825701602711
v1_baseline,MLP,13215.121632942115,22627.452313868664,0.5558064551946511
v2_artist,Decision Tree,5584.798839094563,9470.33195663137,0.922190731787271
v2_artist,Random Forest,4880.435769503254,9404.870143311677,0.9232626966940258
v2_artist,MLP,12902.125232396233,19965.769740272175,0.6541617358442375
v3_artist_geo,Decision Tree,5571.748548200919,9333.206288832556,0.9244276971507046
v3_artist_geo,Random Forest,4882.909327905802,9435.286818093191,0.9227655355516862
v3_artist_geo,MLP,12701.548638749313,20877.985588225034,0.6218378023019016
v4_artist_geo_time,Decision Tree,7774.61991478293,22252.7725942297,0.570395139873557
v4_artist_geo_time,Random Forest,5090.833277367722,10358.643612488688,0.9069092114179184
v4_artist_geo_time,MLP,12714.10936012653,20728.095959551156,0.6272482016981669
v5_full,Decision Tree,7168.229216358577,22083.89423414271,0.5768910195174104
v5_full,Random Forest,5028.986887628631,10343.27648598564,0.9071852083285072
v5_full,MLP,13834.456204734837,20414.2225775793,0.6384514555207392
v6_no_artist,Decision Tree,6122.509619180427,14395.827953339056,0.8202064027676673
v6_no_artist,Random Forest,4918.000634290461,10233.982284425241,0.9091363354557316
v6_no_artist,MLP,13912.813682245189,21574.405237838862,0.5961885862136851
